nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
POUSADA CORAL DE FOGO,pousada-coral-de-fogo,1995-09-01T03:00:00.000Z,1,Prado,BA,28214,-17.3364,-39.2227,,,,
POUSADA COSTA SUL,pousada-costa-sul,2010-08-10T03:00:00.000Z,1,Prado,BA,28214,-17.3364,-39.2227,,,,
POUSADA DA DINDA,pousada-da-dinda,1993-02-02T03:00:00.000Z,1,Mata de São João,BA,47643,-12.5307,-38.3009,,,,
POUSADA DA NICE,pousada-da-nice,2005-11-17T02:00:00.000Z,1,Retirolândia,BA,14588,-11.4832,-39.4234,,,,
POUSADA DA PAZ,pousada-da-paz,1993-11-23T02:00:00.000Z,1,Itacaré,BA,29051,-14.2784,-38.9959,,,,
POUSADA DIVISA,pousada-divisa,1999-10-21T02:00:00.000Z,1,Formosa do Rio Preto,BA,26111,-11.0328,-45.193,,,,
POUSADA DO BOSQUE,pousada-do-bosque,1992-03-27T03:00:00.000Z,1,Itajuípe,BA,20309,-14.6788,-39.3698,,,,
POUSADA DO CACAU,pousada-do-cacau,2012-01-16T02:00:00.000Z,1,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POUSADA DO COSTINHA,pousada-do-costinha,2001-10-05T03:00:00.000Z,1,Itacaré,BA,29051,-14.2784,-38.9959,,,,
POUSADA DO PILAR,pousada-do-pilar,2010-03-09T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POUSADA DO PORTO,pousada-do-porto,2008-07-14T03:00:00.000Z,1,Maragogipe,BA,44902,-12.776,-38.9175,,,,
POUSADA E CHURRASCARIA RECANTO DO SONO,pousada-e-churrascaria-recanto-do-sono,2005-01-07T02:00:00.000Z,1,Milagres,BA,10838,-12.8646,-39.8611,,,,
POUSADA E CHURRASCARIA VANADIO,pousada-e-churrascaria-vanadio,2005-10-26T02:00:00.000Z,1,Maracás,BA,19973,-13.4355,-40.4323,,,,
POUSADA E RESTARANTE CAFARNAUM,pousada-e-restarante-cafarnaum,2005-04-06T03:00:00.000Z,1,Cafarnaum,BA,18585,-11.6914,-41.4688,,,,
POUSADA E RESTAURANTE CAPIM SANTO LTDA.,pousada-e-restaurante-capim-santo-ltda,1986-09-02T03:00:00.000Z,3,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POUSADA E RESTAURANTE RECANTO DAS ALGAROBAS,pousada-e-restaurante-recanto-das-algarobas,2007-07-10T03:00:00.000Z,1,Iraquara,BA,25728,-12.2429,-41.6155,,,,
POUSADA E RESTAURANTE SABOR DA TERRA,pousada-e-restaurante-sabor-da-terra,2008-12-12T02:00:00.000Z,1,Simões Filho,BA,137117,-12.7866,-38.4029,,,,
POUSADA ECOLOGICA DAS BROMELIAS,pousada-ecologica-das-bromelias,1997-08-15T03:00:00.000Z,3,Morro do Chapéu,BA,35466,-11.5488,-41.1565,,,,
POUSADA ENCANTO DA LUA,pousada-encanto-da-lua,2004-05-11T03:00:00.000Z,1,Cairu,BA,18666,-13.4904,-39.0465,,,,
POUSADA ESTRELA D'AGUA,pousada-estrela-dagua,1998-11-27T02:00:00.000Z,5,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POUSADA ESTRELAS DE JAKUARA,pousada-estrelas-de-jakuara,2000-02-24T02:00:00.000Z,1,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POUSADA EXECUTIVA,pousada-executiva,2008-11-21T02:00:00.000Z,1,Camacan,BA,32023,-15.4142,-39.4919,,,,
POUSADA FAROL DO MORRO,pousada-farol-do-morro,1986-12-09T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POUSADA FLAMBOYAN,pousada-flamboyan,2004-12-09T02:00:00.000Z,1,Rio de Contas,BA,12878,-13.5852,-41.8048,,,,
POUSADA LOVE STORY,pousada-love-story,1999-03-25T03:00:00.000Z,1,Itaberaba,BA,64795,-12.5242,-40.3059,,,,
POUSADA LUA DE CRISTAL,pousada-lua-de-cristal,2006-12-15T02:00:00.000Z,1,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
POUSADA LUAR DAS AGUAS,pousada-luar-das-aguas,1998-12-17T02:00:00.000Z,1,Cairu,BA,18666,-13.4904,-39.0465,,,,
POUSADA MARIA DE FIRMINO,pousada-maria-de-firmino,2001-01-18T02:00:00.000Z,1,Maraú,BA,20664,-14.1035,-39.0137,,,,
POUSADA MARIA MARINHA,pousada-maria-marinha,2003-11-13T02:00:00.000Z,1,Itacaré,BA,29051,-14.2784,-38.9959,,,,
POUSADA MELO,pousada-melo,2011-05-27T03:00:00.000Z,1,Medeiros Neto,BA,22741,-17.3707,-40.2238,,,,
POUSADA MENINA BONITA,pousada-menina-bonita,2001-08-30T03:00:00.000Z,1,Maracás,BA,19973,-13.4355,-40.4323,,,,
POUSADA MORADA DO SOL,pousada-morada-do-sol,2007-08-31T03:00:00.000Z,1,Utinga,BA,19330,-12.0783,-41.0954,,,,
POUSADA N. SENHORA APARECIDA,pousada-n-senhora-aparecida,2005-08-08T03:00:00.000Z,1,Macarani,BA,19056,-15.5646,-40.4209,,,,
POUSADA NAINAS,pousada-nainas,2003-11-12T02:00:00.000Z,1,Itacaré,BA,29051,-14.2784,-38.9959,,,,
POUSADA NOVO TEMPO,pousada-novo-tempo,2010-03-23T03:00:00.000Z,3,Lauro de Freitas,BA,204669,-12.8978,-38.321,,,,
POUSADA OXUMARE,pousada-oxumare,1979-02-05T03:00:00.000Z,1,Governador Mangabeira,BA,20800,-12.5994,-39.0412,,,,
POUSADA PARAISO,pousada-paraiso,2010-02-17T02:00:00.000Z,1,Conceição do Jacuípe,BA,33631,-12.3268,-38.7684,,,,
POUSADA PARAISO DAS AGUAS,pousada-paraiso-das-aguas,2011-07-13T03:00:00.000Z,1,Tucano,BA,50903,-10.9584,-38.7894,,,,
POUSADA PAU BRASIL,pousada-pau-brasil,1993-01-18T02:00:00.000Z,5,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POUSADA PEDRA DO POLVO,pousada-pedra-do-polvo,2002-10-22T03:00:00.000Z,1,Prado,BA,28214,-17.3364,-39.2227,,,,
POUSADA PIRACANGA,pousada-piracanga,2007-12-04T02:00:00.000Z,1,Itacaré,BA,29051,-14.2784,-38.9959,,,,
POUSADA PORTO DOS CASAIS,pousada-porto-dos-casais,2010-06-09T03:00:00.000Z,5,Itacaré,BA,29051,-14.2784,-38.9959,,,,
POUSADA POUSO DA TRILHA,pousada-pouso-da-trilha,2010-06-04T03:00:00.000Z,3,Lençóis,BA,11586,-12.5616,-41.3928,,,,
POUSADA PRAIA DE IPITANGA TURISMO E CONTABILIDADE,pousada-praia-de-ipitanga-turismo-e-contabilidade,2010-11-11T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POUSADA PRAIA DOS COQUEIROS,pousada-praia-dos-coqueiros,2014-05-09T03:00:00.000Z,1,Conde,BA,26223,-11.8179,-37.6131,,,,
POUSADA RAMOS,pousada-ramos,2010-11-30T02:00:00.000Z,1,Uruçuca,BA,20312,-14.5963,-39.2851,,,,
POUSADA RANCHO FUNDO,pousada-rancho-fundo,2007-08-13T03:00:00.000Z,1,Camaçari,BA,309208,-12.6996,-38.3263,,,,
POUSADA RIO MUCURI,pousada-rio-mucuri,1991-07-29T03:00:00.000Z,3,Mucuri,BA,42729,-18.0754,-39.5565,,,,
POUSADA RIO PEQUENO,pousada-rio-pequeno,2008-04-01T03:00:00.000Z,1,Paramirim,BA,21777,-13.4388,-42.2395,,,,
POUSADA SANTANA,pousada-santana,1998-07-16T03:00:00.000Z,1,Valença,BA,97873,-13.3669,-39.073,,,,
POUSADA SANTO ANTONIO,pousada-santo-antonio,2008-03-12T03:00:00.000Z,1,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,,,,
POUSADA SHANGRILA,pousada-shangrila,1991-03-05T03:00:00.000Z,1,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POUSADA SOL DO ATLANTICO,pousada-sol-do-atlantico,1993-09-30T03:00:00.000Z,1,Ilhéus,BA,157639,-14.793,-39.046,,,,
POUSADA STELLA TROPICAL,pousada-stella-tropical,2002-02-07T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
